"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"senatorsessions",47975734,47975734,"Sen. Jeff Sessions","SenatorSessions","Mobile, AL","U.S. Sen. Jeff Sessions (R-AL) serves as the Ranking Member on the Senate Budget Committee. He is in his 3rd term in the Senate.","http://t.co/YAOq1Yfj0b",35162,102,"Wed Jun 17 14:24:08 +0000 2009","Eastern Time (US & Canada)","en","R"
"senatorshaheen",109287731,109287731,"Sen. Jeanne Shaheen","SenatorShaheen","Washington, DC","I am currently serving in the United States Senate and am proud to serve the people of New Hampshire. http://t.co/6CyyCKZ22b","http://t.co/6hHVU7gHqa",19923,5629,"Thu Jan 28 15:22:44 +0000 2010","Eastern Time (US & Canada)","en","D"
"senatortimscott",217543151,217543151,"Tim Scott","SenatorTimScott","South Carolina","Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements.","http://t.co/i0xPdhPAda",75261,2466,"Fri Nov 19 20:34:30 +0000 2010","Eastern Time (US & Canada)","en","R"
"senatortomudall",60828944,60828944,"Tom Udall","SenatorTomUdall","Santa Fe and Washington","Updates from U.S. Senator Tom Udall from New Mexico. Follow @TomUdallPress for press updates. Photo by #ShowcaseNM contest finalist Prakriti of N.M. Highlands.","http://t.co/ETWpVFzOcZ",17301,5,"Tue Jul 28 06:10:29 +0000 2009","Eastern Time (US & Canada)","en","D"
"senatorvitter",20092295,20092295,"Senator David Vitter","senatorvitter","Louisiana and Washington DC","I'll be posting information here about my work in the Senate, my travels in Louisiana, and the progress we're making growing and organizing Team Vitter.","http://t.co/EwofePpgYY",3309,0,"Wed Feb 04 20:54:26 +0000 2009","Quito","en",NA
"senatorwicker",264219447,264219447,"Senator Roger Wicker","SenatorWicker","Mississippi & Washington, DC","U.S. Senator for the State of Mississippi. Please visit my website for updates from the Senate.","http://t.co/AUGbIUCKKb",14227,281,"Fri Mar 11 14:59:01 +0000 2011","Eastern Time (US & Canada)","en","R"
"senbennetco",224285242,224285242,"Michael Bennet","SenBennetCO","Colorado","U.S. Senator for Colorado","http://t.co/bQVU54FnhE",19422,61,"Wed Dec 08 16:29:29 +0000 2010","Eastern Time (US & Canada)","en","D"
"senbillnelson",20597460,20597460,"Bill Nelson","SenBillNelson","Florida/ Washington, D.C.","U.S. Sen. Bill Nelson is the senior senator from the state of Florida.","http://t.co/vGd5w3eooK",38589,100,"Wed Feb 11 15:44:25 +0000 2009","Eastern Time (US & Canada)","en","D"
"senblumenthal",278124059,278124059,"Richard Blumenthal","SenBlumenthal","Connecticut, USA","Connecticut’s U.S. Senator","http://t.co/MfF8W57FEu",21588,716,"Wed Apr 06 17:13:53 +0000 2011","Eastern Time (US & Canada)","en","D"
"senbobcasey",171598736,171598736,"Senator Bob Casey","SenBobCasey","","Official twitter profile for the press office of Senator Bob Casey.","http://t.co/R7nIceOn6k",21701,343,"Tue Jul 27 18:38:20 +0000 2010","Eastern Time (US & Canada)","en","D"
"senbobcorker",73303753,73303753,"Senator Bob Corker","SenBobCorker","Tennessee","Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff. Tweets from the senator are signed -BC.","http://t.co/ZyiE2l8INn",33463,440,"Fri Sep 11 03:56:08 +0000 2009","Eastern Time (US & Canada)","en","R"
"sencarllevin",93761782,93761782,"Senator Carl Levin","SenCarlLevin","","U.S. Senator from Michigan, Chairman of the Senate Armed Services Committee, Chairman of the Permanent Subcommittee on Investigations","http://t.co/FE71BoJ4iT",20396,2,"Tue Dec 01 01:44:01 +0000 2009","Eastern Time (US & Canada)","en","D"
"sendancoats",212262370,212262370,"Senator Dan Coats","SenDanCoats","","U.S. Senator serving Indiana","http://t.co/IBFpNB6ied",18489,608,"Fri Nov 05 15:56:49 +0000 2010","Eastern Time (US & Canada)","en","R"
"sendeanheller",266133081,266133081,"Dean Heller","SenDeanHeller","Nevada","U.S. Senator Dean Heller","http://t.co/tnRta2EeF6",14124,4329,"Mon Mar 14 18:31:08 +0000 2011","Pacific Time (US & Canada)","en","R"
"sendonnelly",216503958,216503958,"Senator Joe Donnelly","SenDonnelly","","U.S. Senator Joe Donnelly's communications staff","http://t.co/fSOunnwiXz",13690,274,"Tue Nov 16 22:24:01 +0000 2010","Central Time (US & Canada)","en","D"
"senfeinstein",476256944,476256944,"Sen Dianne Feinstein","SenFeinstein","California","United States Senator from California. On Facebook at: http://t.co/siExqwIu","http://t.co/x96JRcShsB",40743,127,"Fri Jan 27 23:06:59 +0000 2012","Eastern Time (US & Canada)","en","D"
"sengillibrand",72198806,72198806,"Kirsten Gillibrand","SenGillibrand","NY","U.S. Senator from New York","http://t.co/1PUpp1uFq6",124140,412,"Mon Sep 07 03:53:24 +0000 2009","Eastern Time (US & Canada)","en","D"
"senjackreed",486694111,486694111,"Senator Jack Reed","SenJackReed","Providence, Rhode Island","Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.","http://t.co/zRkAemKyYn",12088,11,"Wed Feb 08 15:24:01 +0000 2012","Hawaii","en","D"
