"year","country","gdppc","doctors"
1982,"TURKEY",2021.969,0.6493062
1985,"TURKEY",2196.531,0.7191862
1986,"TURKEY",2308.458,0.7210731
1987,"TURKEY",2473.488,0.7347867
1988,"TURKEY",2471.708,0.7836867
1989,"TURKEY",2422.205,0.8507522
1990,"TURKEY",2589.091,0.8999929
1991,"TURKEY",2571.516,1
1992,"TURKEY",2679.534,1
1993,"TURKEY",2859.02,1
1994,"TURKEY",2654.082,1.100007
1995,"TURKEY",2810.688,1.1
1996,"TURKEY",2955.335,1.100008
1998,"TURKEY",3175.408,1.200006
1960,"UAR",359.6675,0.3913278
1965,"UAR",455.884,0.4347885
1970,"UAR",477.5778,0.5270021
1982,"UGANDA",235.8297,0.0458033
1984,"UGANDA",239.2378,0.044093
1989,"UGANDA",244.3087,0.0446442
1993,"UGANDA",269.0279,0.0400439
1960,"UK",9495.945,1.064995
1965,"UK",10674.7,1.150009
1970,"UK",11827.25,1.236411
1981,"UK",13981.5,1.635647
1983,"UK",14759.89,1.634922
1990,"UK",18080.68,1.500009
1991,"UK",17739.41,1.5
1992,"UK",17691.73,1.5
1993,"UK",18046.05,1.500009
1994,"UK",18771.83,1.6
1995,"UK",19225.67,1.600007
1996,"UK",19650.65,1.699993
1998,"UK",20718.44,1.700008
1999,"UK",21068.55,1.451104
1991,"UKRAINE",1803.858,4.323898
1992,"UKRAINE",1619.931,4.276083
1993,"UKRAINE",1388.794,4.407904
1994,"UKRAINE",1075.606,4.372027
1995,"UKRAINE",952.0649,4.463333
1960,"UPPER VOLTA",169.1306,0.0110151
1965,"UPPER VOLTA",177.5568,0.0135215
1970,"UPPER VOLTA",185.2798,0.0102965
1980,"UPPER VOLTA",207.5017,0.0182419
1981,"UPPER VOLTA",211.0808,0.0179393
1983,"UPPER VOLTA",220.7602,0.0174654
1960,"URUGUAY",3873.007,1.06383
1965,"URUGUAY",3817.984,1.136279
1970,"URUGUAY",4013.205,1.093305
1975,"URUGUAY",4292.24,1.111347
1981,"URUGUAY",5253.287,1.996589
1984,"URUGUAY",4124.811,1.925728
1985,"URUGUAY",4157.483,1.947491
1990,"URUGUAY",4870.318,3.679974
1992,"URUGUAY",5369.626,3.22594
1995,"URUGUAY",5701.731,3.559975
1996,"URUGUAY",5975.208,3.723936
1960,"US",13278.8,1.361591
1965,"US",15423.48,1.492535
1970,"US",17051.86,1.5762
1980,"US",20981.27,1.826014
1981,"US",21285.33,2.005857
1984,"US",22708.45,2.125305
1988,"US",25337.4,2.39509
1990,"US",26159.88,2.4
1991,"US",25751.34,2.500001
1992,"US",26233.96,2.499999
1993,"US",26610.48,2.499998
1994,"US",27342.57,2.599998
1995,"US",27712.99,2.6
1996,"US",28340.95,2.6
1997,"US",29230.86,2.700001
1998,"US",30134.71,2.700001
1999,"US",30845.19,2.151656
1970,"USSR",2049.976,2.901751
1975,"USSR",2648.057,3.494039
1979,"USSR",3054.531,3.919523
1980,"USSR",3163.348,4.033523
1981,"USSR",3233.429,4.143889
1982,"USSR",3335.279,4.255697
1984,"USSR",3507.653,4.419069
1985,"USSR",3550.126,4.4961
1987,"USSR",3609.342,4.646079
1988,"USSR",3747.389,4.686872
1989,"USSR",3796.255,4.723093
1990,"USSR",3668.189,4.059997
1991,"UZBEKISTAN",958.2327,3.368643
1992,"UZBEKISTAN",831.1118,3.361517
1993,"UZBEKISTAN",793.6777,3.331579
1994,"UZBEKISTAN",737.9202,3.308186
1995,"UZBEKISTAN",718.1295,3.256633
1999,"UZBEKISTAN",758.5446,2.821116
1980,"VANUATU",1426.078,0.1912046
1981,"VANUATU",1466.091,0.1886469
1986,"VANUATU",1596.334,0.2037736
1989,"VANUATU",1556.288,0.1254355
1991,"VANUATU",1413.548,0.0990099
1983,"VENDA",12571.43,0.65337
1960,"VENEZUELA",3720.485,0.6656551
1965,"VENEZUELA",4176.644,0.8151528
1970,"VENEZUELA",4305.889,0.8834064
1974,"VENEZUELA",4219.423,0.904157
1975,"VENEZUELA",4191.516,0.9041935
1976,"VENEZUELA",4358.322,0.9039629
1980,"VENEZUELA",3991.186,0.8296335
1981,"VENEZUELA",3865.891,0.995711
1982,"VENEZUELA",3686.792,0.8332821
1984,"VENEZUELA",3426.335,1.435812
1985,"VENEZUELA",3354.287,1.196231
1986,"VENEZUELA",3490.98,1.399204
1987,"VENEZUELA",3529.349,1.401092
1988,"VENEZUELA",3642.592,1.599734
1989,"VENEZUELA",3240.817,1.695394
1990,"VENEZUELA",3349.675,1.564352
1995,"VENEZUELA",3542.799,1.939983
1997,"VENEZUELA",3606.991,2.364051
1999,"VENEZUELA",3213.405,1.286877
1980,"WESTN SAMOA",974.4114,0.3612903
1981,"WESTN SAMOA",881.7657,0.4043127
1986,"WESTN SAMOA",964.2119,0.2795426
1989,"WESTN SAMOA",979.777,0.2074298
1992,"WESTN SAMOA",897.1849,0.3644
1975,"ZAIRE",349.4549,0.0355684
1979,"ZAIRE",281.3938,0.0725486
1987,"ZAIRE",262.2,0.0738898
1990,"ZAIRE",220.0622,0.0660814
1965,"ZAMBIA",752.2047,0.0877144
1970,"ZAMBIA",698.6484,0.0732872
1975,"ZAMBIA",679.5276,0.0741582
1980,"ZAMBIA",583.92,0.0756361
1981,"ZAMBIA",600.1887,0.1263753
1983,"ZAMBIA",537.187,0.1394819
1985,"ZAMBIA",512.2821,0.1408955
1990,"ZAMBIA",477.3903,0.0915982
1999,"ZAMBIA",388.72,0.0721572
1980,"ZIMBABWE",620.2356,0.1637894
1981,"ZIMBABWE",675.3264,0.1413677
1985,"ZIMBABWE",643.1468,0.1682895
1987,"ZIMBABWE",621.4012,0.1405905
1990,"ZIMBABWE",686.2386,0.1354263
1995,"ZIMBABWE",646.6237,0.1482154
1996,"ZIMBABWE",697.6614,0.1174152
